index,path,action,artwork_status,transcription_status,notes
12,textures/load/spr_etc_xst/D6DC1380_256x64.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
15,textures/load/spr_font_xst/20389D70_512x256.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
16,textures/load/spr_font_xst/23DDB6EC_512x512.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
17,textures/load/spr_font_xst/6B8ED9DA_256x128.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
18,textures/load/spr_font_xst/7B65A191_256x128.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
19,textures/load/spr_font_xst/B3ED3652_512x256.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
20,textures/load/spr_font_xst/B7EEB2D9_256x128.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
21,textures/load/spr_font_xst/D7CE8BC3_512x256.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
22,textures/load/spr_font_xst/E86D77E8_256x128.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
23,textures/load/spr_font_xst/FDC6BAD7_512x128.dds,font_pipeline,blocked_runtime_font,glyph_atlas,
24,textures/load/spr_name_entry_xst/66743AA8_1024x1024.dds,hangul_name_entry,blocked_runtime_name_entry,glyph_atlas,
25,textures/load/spr_sprani_CLAR_RANK_Exst/4AFC1BED_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
26,textures/load/spr_sprani_CLAR_RANK_Exst/63C91067_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
27,textures/load/spr_sprani_CLAR_RANK_Exst/8B52FEEC_1024x512.dds,zoom_review,blocked_review,needs_zoom_review,
28,textures/load/spr_sprani_CLAR_RANK_Exst/A05BF610_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
29,textures/load/spr_sprani_CLAR_RANK_Exst/F043316B_1024x512.dds,zoom_review,blocked_review,needs_zoom_review,
30,textures/load/spr_sprani_FLAG_RANK_Exst/8215FD25_1024x512.dds,zoom_review,blocked_review,needs_zoom_review,
31,textures/load/spr_sprani_FLAG_RANK_Exst/A82266FC_1024x512.dds,zoom_review,blocked_review,needs_zoom_review,
32,textures/load/spr_sprani_FLAG_RANK_Exst/DCC7B488_512x256.dds,zoom_review,blocked_review,needs_zoom_review,
33,textures/load/spr_sprani_FLAG_RANK_Exst/FBCAB18D_1024x512.dds,zoom_review,blocked_review,needs_zoom_review,
34,textures/load/spr_sprani_HOLL_RANK_Exst/B7E25BAD_1024x512.dds,zoom_review,blocked_review,needs_zoom_review,
