<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: inventory.csv>index,path,sha256,width,height,mode,category,status,text_detected,korean_asset,notes
0,textures/load/cs_BK_SUMOEND_pmt/62C765F5_256x64.dds,1a5fd295bbbda91bd6ff2d2c835587095ea829c3031a8c57cce1495114166273,512,128,RGBA,shared,deferred_nonlocalized,unknown,,
1,textures/load/cs_BK_SUMOEND_pmt/659156B6_256x256.dds,85de38cce731d52289d524762a0f659b00e4c257d72c8f1af6f8efb75febd2a3,512,512,RGBA,shared,deferred_nonlocalized,unknown,,
2,textures/load/cs_BK_SUMOEND_pmt/8FF02307_256x64.dds,cdf0fc299ee830fcd418cf200b8e5571702299c6c45626f4c89d7804dc4d8185,512,128,RGBA,shared,deferred_nonlocalized,unknown,,
3,textures/load/cs_BK_SUMOEND_pmt/B2E612E8_256x64.dds,409e1963a3d9153d5046ea7e3505f63a379f62f7cd9e8ebdecae79b07f7a02aa,512,128,RGBA,shared,deferred_nonlocalized,unknown,,
4,textures/load/spr_etc_xst/150E5A1E_128x64.dds,122da361131b93364669612aa69a8876bf95da9e716868d4761972fa69870ae4,128,64,RGBA,shared,inspect,unknown,,
5,textures/load/spr_etc_xst/1E674263_128x128.dds,b35f586a01bbd740a60e79d4d1998cbbf63876342bc7f0b67815f230fe2e3131,128,128,RGBA,shared,inspect,unknown,,
6,textures/load/spr_etc_xst/28CC276C_128x64.dds,5a8870b486a0c7817d9df5d02d861609c4ca24c75f3726506600b2520510727e,128,64,RGBA,shared,inspect,unknown,,
7,textures/load/spr_etc_xst/3181CDE7_128x64.dds,039f47eefb248fd3e7113db91478175333631d83eb5de15a0c18b41611292aee,128,64,RGBA,shared,inspect,unknown,,
8,textures/load/spr_etc_xst/34C6562D_128x256.dds,9137513da75286b088efc0a00bf9ccc44dec675c4db2e8975d660ef5781d0b2c,128,256,RGBA,shared,inspect,unknown,,
9,textures/load/spr_etc_xst/64F36800_128x128.dds,ac3f041da08734b592c2858c22d801104f803e2062cb8925c385ce03fc6a028b,1024,1024,RGBA,shared,inspect,unknown,,
10,textures/load/spr_etc_xst/94EF7373_256x256.dds,b786aa469d46e1c574ba2b24ed5d78a61013b89b75275a5435520e325e08268d,256,256,RGBA,shared,inspect,unknown,,
11,textures/load/spr_etc_xst/CB242568_128x64.dds,9649e86edfdd78641341421bbb103c185136ae132df0bdf6903f89133856985b,128,64,RGBA,shared,inspect,unknown,,
12,textures/load/spr_etc_xst/D6DC1380_256x64.dds,42aa10e021f9170247612b2e8231be43458abc3cda1011595db2fe2902df4352,256,64,RGBA,shared,inspect,unknown,,
13,textures/load/spr_etc_xst/DA9F8A34_128x128.dds,6478c6825ebe335296b5a6a9a1681d48d9a42de32118a3ea7fb62a6bf13127eb,128,128,RGBA,shared,inspect,unknown,,
14,textures/load/spr_etc_xst/E703D12B_256x256.dds,10d4c0fe4c7dfd368df09043a512a56a52ecb72e7ef7d60b0c46ed7afd3a64d1,256,256,RGBA,shared,inspect,unknown,,
15,textures/load/spr_font_xst/20389D70_512x256.dds,0b687a1d416f579bc71521ad4ec8278b84a3362b1c687ead3d80aaec7de31d25,2048,1024,RGBA,font,inspect,unknown,,
16,textures/load/spr_font_xst/23DDB6EC_512x512.dds,87b794dea360e23aad2a0029fb349b7b4e2a8bd0167db63fbfa1f8d3bdf8dd88,2048,2048,RGBA,font,inspect,unknown,,
17,textures/load/spr_font_xst/6B8ED9DA_256x128.dds,46051db8d7ae08a3c010f29371724109e7cdb61e17590c2b983a5130a8ae501d,256,128,RGBA,font,inspect,unknown,,
18,textures/load/spr_font_xst/7B65A191_256x128.dds,c1f47db9ab463fcc46bc23fa1154046b5c0eb6fd126559351e2e80042334e100,256,128,RGBA,font,inspect,unknown,,
19,textures/load/spr_font_xst/B3ED3652_512x256.dds,a739c657091f99e8f5fd3f636cccc49beace7aac819c23d2baf33b951813b842,512,256,RGBA,font,inspect,unknown,,
20,textures/load/spr_font_xst/B7EEB2D9_256x128.dds,290616c5693d1059e1e9f787a97716c6a0f28f1444d02fc0d077f263f5eabf33,256,128,RGBA,font,inspect,unknown,,
21,textures/load/spr_font_xst/D7CE8BC3_512x256.dds,2a8f9e8c906a6ae5583550c735d999fc3f5650c4f21a4e9d0c7a915ec063f4b7,512,256,RGBA,font,inspect,unknown,,
22,textures/load/spr_font_xst/E86D77E8_256x128.dds,8bbd1900dae062c82d05cda321c0f04fed7db0f1d72bb2d4366c097ed6f56bf3,256,128,RGBA,font,inspect,unknown,,
23,textures/load/spr_font_xst/FDC6BAD7_512x128.dds,23130060f797c05fadd63108d9b9e0b02cb3b6a5900e2a47cce12362ef48025c,512,128,RGBA,font,inspect,unknown,,
24,textures/load/spr_name_entry_xst/66743AA8_1024x1024.dds,7aa21de138af2d7f2aae54022a08f0aca79093a2a34a2bd74a87a442efaa60aa,4096,4096,RGBA,shared,inspect,unknown,,
25,textures/load/spr_sprani_CLAR_RANK_Exst/4AFC1BED_512x512.dds,dd29130a983fb0d9f436ece6a3d53548390f2ef9d2f337eb6aa6ce0c12af57b0,512,512,RGBA,language_specific,inspect,unknown,,
26,textures/load/spr_sprani_CLAR_RANK_Exst/63C91067_512x512.dds,febbe4ed440bf9780239352efe49da01c15c2ff1d93cc8eb43c65b3ac21e09e5,2048,2047,RGBA,language_specific,inspect,unknown,,
27,textures/load/spr_sprani_CLAR_RANK_Exst/8B52FEEC_1024x512.dds,a11b32753655d25dbf95baf808af90a3cc3f65fb1083db0bb1db8fad80cdcf47,1024,512,RGBA,language_specific,inspect,unknown,,
28,textures/load/spr_sprani_CLAR_RANK_Exst/A05BF610_512x512.dds,ede0367228e0a97bbbdbc58f71c03ff0e044826e17fd7697b74d852aff7a3e64,2047,2048,RGBA,language_specific,inspect,unknown,,
29,textures/load/spr_sprani_CLAR_RANK_Exst/F043316B_1024x512.dds,5eec2b8dd7796c6dfaa19ceb58cef699c1d62a475eb827a270fcd1ee45b74b96,1024,512,RGBA,language_specific,inspect,unknown,,
30,textures/load/spr_sprani_FLAG_RANK_Exst/8215FD25_1024x512.dds,0cd71138fd6811f5466a9c6674a243324d88ecc8dd82ad36df05234d759abc56,1024,512,RGBA,language_specific,inspect,unknown,,
31,textures/load/spr_sprani_FLAG_RANK_Exst/A82266FC_1024x512.dds,62fcd46bf3686d589777e831b854fcfb9289c792d4ac573c222ea9b3f4be6e31,1024,512,RGBA,language_specific,inspect,unknown,,
32,textures/load/spr_sprani_FLAG_RANK_Exst/DCC7B488_512x256.dds,f6a4599b452f2b2b4cced33b94f12e92be1a22bf59df6ec0b084c120d30842c2,2048,1024,RGBA,language_specific,inspect,unknown,,
33,textures/load/spr_sprani_FLAG_RANK_Exst/FBCAB18D_1024x512.dds,f00a41f81c3373b59836f60e78d3b6834bfeb450cdf51c60ad3404b38124c4fc,1024,512,RGBA,language_specific,inspect,unknown,,
34,textures/load/spr_sprani_HOLL_RANK_Exst/B7E25BAD_1024x512.dds,fe6b18a80918b8ede35d0603faa271accfd178f68da96209984c8f9b551591b9,1024,512,RGBA,language_specific,inspect,unknown,,
35,textures/load/spr_sprani_HOLL_RANK_Exst/E989E3B7_1024x1024.dds,224398b53b16475afa5a3d7c37365eb83643506edb8bc4bfe14aa0e8e18784a0,1024,1024,RGBA,language_specific,inspect,unknown,,
36,textures/load/spr_sprani_JENN_RANK_Exst/06AB5CEE_1024x1024.dds,e02db9b4e04747e2a74295e8f5a01e07f0ed88d31832f4169b1e5996bc30f1eb,4096,4096,RGBA,language_specific,inspect,unknown,,
37,textures/load/spr_sprani_JENN_RANK_Exst/515DCBB2_1024x1024.dds,71479df90571cc1546fd6b274888e123f73c960f2f4a0381f20cf667d4ea511b,1024,1024,RGBA,language_specific,inspect,unknown,,
38,textures/load/spr_sprani_JENN_RANK_Exst/6AB5CEE_1024x1024.dds,c45f8592260ad9f1d077b54f17c3d71a9b210081e7ab4c0114aa8368908d109b,1024,1024,RGBA,language_specific,inspect,unknown,,
39,textures/load/spr_sprani_common_cvt_xst/110B6849_256x256.dds,077efb3f9bc924c0f42724424e209bc642824e74de29209c881614a5a4593541,1024,1024,RGBA,shared,deferred_nonlocalized,unknown,,
40,textures/load/spr_sprani_common_cvt_xst/16729EC5_128x64.dds,57815eb5454e8950f90b122732e067080d04658f16da9289c049025fa73cb589,128,64,RGBA,shared,deferred_nonlocalized,unknown,,
41,textures/load/spr_sprani_common_cvt_xst/553BF480_128x128.dds,e06a545c1a82ac435c61caa579dc52ef2d9ffaed68b3231e278332bed4196ef0,512,512,RGBA,shared,deferred_nonlocalized,unknown,,
